municipio_id,municipio_nombre
820028.0,casilda
822056.0,chabas
822070.0,gödeken
822091.0,san jose de la esquina
822084.0,los quirquinchos
822098.0,sanford
822147.0,colonia aldao
822112.0,angelica
822119.0,ataliva
822126.0,aurelia
822133.0,bauer y sigel
822140.0,bella italia
822168.0,castellanos
822154.0,colonia bicha
822175.0,colonia cello
822189.0,colonia margarita
822196.0,colonia raquel
822203.0,coronel fraga
822210.0,egusquiza
822217.0,esmeralda
822224.0,estacion clucellas
822336.0,saguier
822238.0,eustolia
820035.0,frontera
822287.0,lehmann
822294.0,maria juana
822322.0,pueblo marini
820042.0,rafaela
822343.0,san antonio
822357.0,santa clara de saguier
820049.0,sunchales
822364.0,susana
822371.0,tacural
822385.0,vila
822392.0,villa san jose
822413.0,alcorta
820056.0,villa constitucion
822420.0,bombal
822427.0,cañada rica
822434.0,cepeda
820063.0,firmat
822455.0,godoy
822462.0,juan bernabe molina
822469.0,juncal
822483.0,m9ximo paz
822504.0,peyrano
822511.0,rueda
822518.0,santa teresa
822525.0,sargento cabral
822553.0,helvecia
822560.0,saladero mariano cabal
822574.0,aaron castellanos
822581.0,amenabar
822588.0,cafferata
822602.0,carmen
822623.0,chovet
822630.0,christophersen
822637.0,diego de alvear
822644.0,elortondo
822679.0,maggiolo
822686.0,maria teresa
822700.0,miguel torres
820070.0,rufino
822721.0,san francisco de santa fe
822728.0,san gregorio
822749.0,teodelina
820277.0,venado tuerto
822756.0,wheelwright
822763.0,arroyo ceibal
820091.0,avellaneda
822770.0,berna
822784.0,el rabon
822798.0,florencia
822819.0,la sarita
822833.0,las garzas
820098.0,las toscas
820105.0,malabrigo
822854.0,san antonio de obligado
822861.0,tacuarendi
822875.0,villa guillermina
820133.0,totoras
820126.0,cañada de gomez
822889.0,carrizales
822896.0,clason
822903.0,correa
822910.0,lucio v. lopez
822917.0,oliveros
823001.0,monte vera
822952.0,arroyo aguiar
822966.0,cabal
822973.0,campo andino
822987.0,emilia
822994.0,llambi campbell
823008.0,nelson
820144.0,recreo
823022.0,san jose del rincon
820147.0,santa fe
820154.0,santo tome
823057.0,elisa
823071.0,felicia
823078.0,franck
823085.0,grutly
823099.0,humboldt
823113.0,jacinto l. arauz
823120.0,la pelada
823127.0,las tunas
823141.0,matilde
823148.0,nuevo torino
823155.0,pilar
823169.0,providencia
823190.0,sa pereyra
823197.0,san agustin
823204.0,san carlos norte
823211.0,san carlos sud
823218.0,san jeronimo del sauce
823239.0,santa clara de buena vista
823260.0,santo domingo
823281.0,esteban rams
823295.0,gregoria perez de denis
823330.0,san bernardo
820175.0,tostado
823358.0,albarellos
823365.0,alvarez
823379.0,arminda
820182.0,arroyo seco
823386.0,carmen del sauce
823393.0,coronel bogado
823470.0,coronel dominguez
820196.0,granadero baigorria
823414.0,ibarlucea
823421.0,piñero
823428.0,pueblo esther
823435.0,pueblo muñoz
823449.0,uranga
823442.0,soldini
823456.0,villa amelia
820217.0,villa gobernador galvez
823463.0,zavalla
823477.0,aguara grande
823484.0,ambrosetti
823505.0,colonia ana
823512.0,colonia bossi
823519.0,colonia rosa
823526.0,constanza
823533.0,curupaity
823547.0,hersilia
823561.0,la cabral
823575.0,la lucila
823582.0,la rubia
823596.0,las palmeras
823603.0,moises ville
823610.0,monigotes
823624.0,ñanducita
823631.0,palacios
820231.0,san cristobal
823645.0,san guillermo
